method,object_type,lighting,trial_id,seed,object_position,object_size,detected_position,detected_range,pos_error_mm,range_error_mm,detection_time_s,success_pos_2cm,success_range_2cm,success_both
hsv_depth,ttt_obj,normal,0,2677856073,"[-0.341197542577337, 0.6114318630393528, 0.0160539397116984]","[0.1, 0.1, 0.1]","[-0.3362834387107824, 0.605371814778011, 0.03685996465109964]","[np.float64(-0.4753279681718656), np.float64(-0.23540828431895447), np.float64(0.5294323857696087), np.float64(0.6851230967139758)]",22.220784763821104,150.59539572970894,2.7434959411621094,False,False,False
depth_clustering,ttt_obj,normal,0,1106756221,"[-0.341197542577337, 0.6114318630393528, 0.0160539397116984]","[0.1, 0.1, 0.1]","[-0.31757249496505735, 0.5779934480818566, 0.03240218885597108]","[np.float64(-0.3917231478915864), np.float64(-0.23505804712859343), np.float64(0.5294323857696087), np.float64(0.6670794290921941)]",44.085550009446386,68.03112166804809,9.805685997009277,False,False,False
hsv_depth,ctry_obj,normal,0,4267410385,"[0.41687782777449794, -0.014070945216022965, 0.02491267718720943]","[0.1, 0.1, 0.1]","[0.3964642212210513, -0.008228492961204717, 0.0725104799946441]","[np.float64(0.3248722554760975), np.float64(0.5079022000502493), np.float64(-0.08149915312843474), np.float64(0.086181316243867)]",52.11909835141229,107.11964166501772,2.392194986343384,False,False,False
depth_clustering,ctry_obj,normal,0,3528478197,"[0.41687782777449794, -0.014070945216022965, 0.02491267718720943]","[0.1, 0.1, 0.1]","[0.4036187198016524, -0.009705151164386907, 0.05427524702207572]","[np.float64(0.32376907340444694), np.float64(0.5094654134078695), np.float64(-0.08428336791841995), np.float64(0.06912169808186278)]",32.51191488122895,100.97506506299842,11.466681241989136,False,False,False
hsv_depth,tuoyuan_obj,normal,0,2167920849,"[0.277246421653783, 0.6051436652578667, 0.036599491145304745]","[0.1, 0.1, 0.1]","[0.2780244045575615, 0.5864422917556975, 0.06307416853944958]","[np.float64(0.22882047531256886), np.float64(0.34099879940577965), np.float64(0.5113904512440622), np.float64(0.6975813394578694)]",32.42306542247741,87.04700333040915,2.4945480823516846,False,False,False
depth_clustering,tuoyuan_obj,normal,0,275506253,"[0.277246421653783, 0.6051436652578667, 0.036599491145304745]","[0.1, 0.1, 0.1]","[0.27833982598068424, 0.5765560750582963, 0.056306598473308836]","[np.float64(0.22342186090478494), np.float64(0.3404570450051789), np.float64(0.5086158759883979), np.float64(0.659231630850438)]",34.73925626259333,53.40554407164531,10.095881223678589,False,False,False
hsv_depth,cube,normal,0,1468751184,"[0.0810433340496199, -0.3398826906308203, 0.03084150221237394]","[0.105, 0.18, 0.022]","[0.12012877988911597, -0.342010937369609, 0.022298877979505916]","[np.float64(0.09745923750958357), np.float64(0.13424506607674705), np.float64(-0.4294056136016845), np.float64(-0.249119121103055)]",40.064671962182956,68.21477304968612,2.2766780853271484,False,False,False
depth_clustering,cube,normal,0,867942395,"[0.0810433340496199, -0.3398826906308203, 0.03084150221237394]","[0.105, 0.18, 0.022]","[0.07966225821918588, -0.33160436807706717, 0.021995926178946114]","[np.float64(0.02822176062759127), np.float64(0.13457059860250933), np.float64(-0.43094839500577486), np.float64(-0.24947747736672934)]",12.193531486675221,1.9957361006496792,12.223753929138184,True,True,True
