method,object_type,lighting,trial_id,seed,object_position,object_size,detected_position,detected_range,pos_error_mm,range_error_mm,detection_time_s,success_pos_2cm,success_range_2cm,success_both
hsv_depth,ttt_obj,normal,0,2207200015,"[0.009268274952101314, -0.5713173925202375, 0.037270399325805496]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,ttt_obj,normal,0,1002162828,"[0.009268274952101314, -0.5713173925202375, 0.037270399325805496]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,ttt_obj,normal,1,1410739606,"[-0.3607994073684884, -0.6430183125216489, 0.03330621726231451]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,ttt_obj,normal,1,3670241444,"[-0.3607994073684884, -0.6430183125216489, 0.03330621726231451]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,ttt_obj,bright,0,3125403055,"[0.31488782890615935, -0.14883876927382383, 0.02602417689993425]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,ttt_obj,bright,0,3498095332,"[0.31488782890615935, -0.14883876927382383, 0.02602417689993425]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,ttt_obj,bright,1,408733224,"[-0.7479021910398612, 0.05487180786253695, 0.03447970672558809]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,ttt_obj,bright,1,3414860651,"[-0.7479021910398612, 0.05487180786253695, 0.03447970672558809]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,ttt_obj,dim,0,1416539095,"[-0.38350712891989547, 0.009296538340352871, 0.014545611109631502]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,ttt_obj,dim,0,2425726543,"[-0.38350712891989547, 0.009296538340352871, 0.014545611109631502]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,ttt_obj,dim,1,734662285,"[0.0693494852369512, -0.5356245114856921, 0.02956977225499651]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,ttt_obj,dim,1,2119059093,"[0.0693494852369512, -0.5356245114856921, 0.02956977225499651]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,ctry_obj,normal,0,2383644161,"[-0.4277656674834084, 0.14372336013636017, 0.028288542011413932]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,ctry_obj,normal,0,1479883113,"[-0.4277656674834084, 0.14372336013636017, 0.028288542011413932]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,ctry_obj,normal,1,3080109200,"[0.41074288117179447, 0.47796977921644157, 0.04245963405886495]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,ctry_obj,normal,1,3220039945,"[0.41074288117179447, 0.47796977921644157, 0.04245963405886495]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,ctry_obj,bright,0,795380091,"[-0.5192244056859978, -0.02057110806618744, 0.04340790765361665]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,ctry_obj,bright,0,1655082760,"[-0.5192244056859978, -0.02057110806618744, 0.04340790765361665]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,ctry_obj,bright,1,3903288960,"[-0.48844715922569604, -0.3310833634489242, 0.021501391196663246]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,ctry_obj,bright,1,2206892312,"[-0.48844715922569604, -0.3310833634489242, 0.021501391196663246]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,ctry_obj,dim,0,2949726112,"[-0.38029743460570387, 0.1645663503532464, 0.0399844349054925]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,ctry_obj,dim,0,858068622,"[-0.38029743460570387, 0.1645663503532464, 0.0399844349054925]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,ctry_obj,dim,1,58299169,"[-0.38692430491781915, -0.18612616946240954, 0.027644191029139068]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,ctry_obj,dim,1,863487856,"[-0.38692430491781915, -0.18612616946240954, 0.027644191029139068]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,tuoyuan_obj,normal,0,1035180136,"[0.610014842990112, 0.3953358165980796, 0.043887338303583365]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,tuoyuan_obj,normal,0,1384343809,"[0.610014842990112, 0.3953358165980796, 0.043887338303583365]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,tuoyuan_obj,normal,1,845537232,"[0.6644911769400053, -0.20725377810338272, 0.04396116668393139]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,tuoyuan_obj,normal,1,722849216,"[0.6644911769400053, -0.20725377810338272, 0.04396116668393139]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,tuoyuan_obj,bright,0,95967084,"[0.2895865379126124, -0.6831860305251694, 0.03785321510343914]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,tuoyuan_obj,bright,0,386847227,"[0.2895865379126124, -0.6831860305251694, 0.03785321510343914]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,tuoyuan_obj,bright,1,3642389500,"[-0.37919039369361396, -0.10200297241428644, 0.01626830767388307]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,tuoyuan_obj,bright,1,3020507403,"[-0.37919039369361396, -0.10200297241428644, 0.01626830767388307]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,tuoyuan_obj,dim,0,2848450204,"[-0.5917237311778885, 0.11746362408875953, 0.04997377249198341]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,tuoyuan_obj,dim,0,3430353355,"[-0.5917237311778885, 0.11746362408875953, 0.04997377249198341]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,tuoyuan_obj,dim,1,3359096858,"[0.48485539202020683, 0.4401899256938862, 0.012550820048246742]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,tuoyuan_obj,dim,1,246959574,"[0.48485539202020683, 0.4401899256938862, 0.012550820048246742]","[0.1, 0.1, 0.1]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,cube,normal,0,2172155647,"[-0.34497288550323063, 0.46713850533698836, 0.01353700761350316]","[0.105, 0.18, 0.022]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,cube,normal,0,595987855,"[-0.34497288550323063, 0.46713850533698836, 0.01353700761350316]","[0.105, 0.18, 0.022]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,cube,normal,1,1178394494,"[-0.32275186987107635, 0.25182860727170986, 0.010979077611656937]","[0.105, 0.18, 0.022]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
