method,object_type,lighting,trial_id,seed,object_position,object_size,detected_position,detected_range,pos_error_mm,range_error_mm,detection_time_s,success_pos_2cm,success_range_2cm,success_both
hsv_depth,cube,normal,0,3317984113,"[-0.314076596489639, -0.09002891032901175, 0.010863664223016647]","[0.105, 0.18, 0.022]","[-0.3079809121654772, -0.08619200087712486, 0.022426718643647148]","[np.float64(-0.37231134930391446), np.float64(-0.2608035631856422), np.float64(-0.19412223433352654), np.float64(0.002338737161525828)]",13.622902372705802,17.70070232284879,3.499215841293335,True,True,True
depth_clustering,cube,normal,0,2871267018,"[-0.314076596489639, -0.09002891032901175, 0.010863664223016647]","[0.105, 0.18, 0.022]","[-0.3100549451537515, -0.08657411785650367, 0.02193676046898222]","[np.float64(-0.367611837132618), np.float64(-0.26116221634094805), np.float64(-0.18104378172786048), np.float64(0.0004705035335766383)]",12.276918626754888,2.0962968045216406,12.689155101776123,True,True,True
hsv_depth,cube,normal,1,2243805368,"[0.12782333040839153, 0.35130943495996375, 0.015622367375820123]","[0.105, 0.18, 0.022]","[0.12679842463873692, 0.34180202245174385, 0.022442888971401398]","[np.float64(0.07156111053074463), np.float64(0.18888734424029915), np.float64(0.2615807369920109), np.float64(0.4544630857624809)]",11.745673215014886,17.829496552246997,2.958371877670288,True,True,True
depth_clustering,cube,normal,1,1917410115,"[0.12782333040839153, 0.35130943495996375, 0.015622367375820123]","[0.105, 0.18, 0.022]","[0.1273393504566988, 0.3412966974026578, 0.02205505777179008]","[np.float64(0.07436041878639252), np.float64(0.18105252322377174), np.float64(0.2615807369920109), np.float64(0.44246350255878897)]",11.91086292908831,1.9085314964357931,12.471452236175537,True,True,True
hsv_depth,cube,normal,2,1782273470,"[0.20821472408264624, 0.3043460672544822, 0.035400775233878155]","[0.105, 0.18, 0.022]","[0.2065055755131475, 0.2956872680566807, 0.022441851732855955]","[np.float64(0.1548750893282145), np.float64(0.26103022595643816), np.float64(0.21495997224212862), np.float64(0.4079454382488363)]",15.678956938706506,13.036742999738275,2.8847010135650635,True,True,True
depth_clustering,cube,normal,2,1524670095,"[0.20821472408264624, 0.3043460672544822, 0.035400775233878155]","[0.105, 0.18, 0.022]","[0.2066243767792649, 0.29531597849239766, 0.02198504834459873]","[np.float64(0.15484049347762893), np.float64(0.261512457835756), np.float64(0.21495997224212862), np.float64(0.39549991893029185)]",16.249721091890564,1.756988116324575,12.495954036712646,True,True,True
hsv_depth,cube,normal,3,1342791513,"[-0.1407416928358538, 0.3037132762687495, 0.03654676631913703]","[0.105, 0.18, 0.022]","[-0.1387411607767886, 0.29575811067716495, 0.022424985553989363]","[np.float64(-0.20803042025611038), np.float64(-0.0881713544019429), np.float64(0.2131505445431836), np.float64(0.4031180335109199)]",16.33130368610458,17.89253124575812,3.1559031009674072,True,True,True
depth_clustering,cube,normal,3,938587483,"[-0.1407416928358538, 0.3037132762687495, 0.03654676631913703]","[0.105, 0.18, 0.022]","[-0.13844558792172693, 0.2971303315512046, 0.022002433789621148]","[np.float64(-0.19429338773701293), np.float64(-0.08817170931107507), np.float64(0.2131281503055932), np.float64(0.3947659963864304)]",16.129007026474497,1.9851202169461073,12.768362998962402,True,True,True
hsv_depth,cube,normal,4,3911686913,"[0.28704647536025063, -0.13890257786778773, 0.01084106334676247]","[0.105, 0.18, 0.022]","[0.28403851336272434, -0.13290412287038128, 0.022333708225054483]","[np.float64(0.2348187503079945), np.float64(0.3485012896790882), np.float64(-0.22843427600150057), np.float64(-0.045582070829705904)]",13.308275020941084,9.139013309575876,2.554950714111328,True,True,True
depth_clustering,cube,normal,4,415876775,"[0.28704647536025063, -0.13890257786778773, 0.01084106334676247]","[0.105, 0.18, 0.022]","[0.282565069966751, -0.13663127588131724, 0.021847331185686724]","[np.float64(0.2348187503079945), np.float64(0.34066948003828457), np.float64(-0.22977174790714303), np.float64(-0.0479918036097953)]",12.098749470782947,1.9728007440337567,12.998786926269531,True,True,True
hsv_depth,cube,bright,0,465200117,"[-0.28793454361286186, -0.3131325719493701, 0.019835452251682272]","[0.105, 0.18, 0.022]","[-0.2830468956577472, -0.3018199948941672, 0.02247628336912083]","[np.float64(-0.34812503052474425), np.float64(-0.23450888546418003), np.float64(-0.41809723996484244), np.float64(-0.22339311641184337)]",12.603074670645693,17.042570380272657,3.6036579608917236,True,True,True
depth_clustering,cube,bright,0,2627347910,"[-0.28793454361286186, -0.3131325719493701, 0.019835452251682272]","[0.105, 0.18, 0.022]","[-0.2849216059806597, -0.3045693428725307, 0.02170459071849023]","[np.float64(-0.3412971992491914), np.float64(-0.23461109093828508), np.float64(-0.40434151807309177), np.float64(-0.22355872035521318)]",9.268244925878335,1.8589603285770389,14.699460983276367,True,True,True
hsv_depth,cube,bright,1,1467701393,"[0.30260449687985685, 0.10321552219034935, 0.02470166420842928]","[0.105, 0.18, 0.022]","[0.29785148623525415, 0.0985816185293289, 0.02242552019699179]","[np.float64(0.24968634778750998), np.float64(0.361580094337219), np.float64(0.011460158783691013), np.float64(0.19424811893637833)]",7.017478527799581,7.436159176927135,2.6921908855438232,True,True,True
depth_clustering,cube,bright,1,1520084855,"[0.30260449687985685, 0.10321552219034935, 0.02470166420842928]","[0.105, 0.18, 0.022]","[0.2988126738718807, 0.09946216493663669, 0.021948752374292172]","[np.float64(0.24968363668967733), np.float64(0.3561325634414099), np.float64(0.012896642639834949), np.float64(0.19424811893637833)]",6.0036768704142345,1.981382575881057,15.314146995544434,True,True,True
hsv_depth,cube,bright,2,301398211,"[0.3156224820611068, 0.25814162899101306, 0.018069685824027994]","[0.105, 0.18, 0.022]","[0.311579234721541, 0.24955851745701263, 0.022470830688378518]","[np.float64(0.26235283927841835), np.float64(0.3782809017291885), np.float64(0.1688381513817983), np.float64(0.34932183142825174)]",10.45885886562184,10.938761141704754,2.8241617679595947,True,True,True
depth_clustering,cube,bright,2,1658473561,"[0.3156224820611068, 0.25814162899101306, 0.018069685824027994]","[0.105, 0.18, 0.022]","[0.3120187619772635, 0.2504958149224481, 0.021717285921896298]","[np.float64(0.2623528624019281), np.float64(0.3690798304985157), np.float64(0.16832461188728964), np.float64(0.34932183142825174)]",9.205990315426705,1.9942080181134776,14.894256830215454,True,True,True
hsv_depth,cube,bright,3,1957699780,"[-0.18105348625269632, 0.2573430884166289, 0.02790288463673096]","[0.105, 0.18, 0.022]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,cube,bright,3,2102442711,"[-0.18105348625269632, 0.2573430884166289, 0.02790288463673096]","[0.105, 0.18, 0.022]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,cube,bright,4,181955685,"[0.16259906519080258, 0.38065780569254204, 0.010041075397865157]","[0.105, 0.18, 0.022]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,cube,bright,4,352204101,"[0.16259906519080258, 0.38065780569254204, 0.010041075397865157]","[0.105, 0.18, 0.022]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,cube,dim,0,3081228122,"[0.4148455123319091, -0.04727958478016152, 0.0478835022602804]","[0.105, 0.18, 0.022]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,cube,dim,0,1602399247,"[0.4148455123319091, -0.04727958478016152, 0.0478835022602804]","[0.105, 0.18, 0.022]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,cube,dim,1,2881458284,"[-0.2926990711954157, -0.1592570947432365, 0.023167341495779144]","[0.105, 0.18, 0.022]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,cube,dim,1,398653427,"[-0.2926990711954157, -0.1592570947432365, 0.023167341495779144]","[0.105, 0.18, 0.022]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,cube,dim,2,1830292724,"[0.046900042494167016, -0.3664987197648814, 0.015965614441126298]","[0.105, 0.18, 0.022]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,cube,dim,2,196901538,"[0.046900042494167016, -0.3664987197648814, 0.015965614441126298]","[0.105, 0.18, 0.022]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,cube,dim,3,3175488038,"[0.26642401895454554, -0.1505047350523901, 0.01665144103113955]","[0.105, 0.18, 0.022]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,cube,dim,3,2531232501,"[0.26642401895454554, -0.1505047350523901, 0.01665144103113955]","[0.105, 0.18, 0.022]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
hsv_depth,cube,dim,4,2792575999,"[0.19729816208919948, 0.31189686687045687, 0.031124694228912994]","[0.105, 0.18, 0.022]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
depth_clustering,cube,dim,4,2320290855,"[0.19729816208919948, 0.31189686687045687, 0.031124694228912994]","[0.105, 0.18, 0.022]","[0, 0, 0]","[0, 0, 0, 0]",inf,inf,0.0,False,False,False
