group,method,lighting,total_trials,success_count,partial_count,fail_count,success_rate,partial_success_rate,overall_success_rate,chamfer_distance_mm_mean,chamfer_distance_mm_std,chamfer_distance_mm_median,hausdorff_distance_mm_mean,hausdorff_distance_mm_std,hausdorff_distance_mm_median,coverage_3mm_mean,coverage_3mm_std,coverage_3mm_median,std_residual_mm_mean,std_residual_mm_std,execution_time_s_mean,execution_time_s_std,point_count_mean,point_count_std,n_successful_trials
canny_overall,canny,all,9,9,0,0,1.0,0.0,1.0,3.0406733565122352,0.5321826774464572,2.9519281453487434,18.229016819295207,2.129544273147884,18.21646720584145,1.0,0.0,1.0,4.139914428814707,0.6463950844826287,153.7833251953125,267.4530752644758,3765.4444444444443,479.2064041493788,9
rgbd_overall,rgbd,all,9,9,0,0,1.0,0.0,1.0,6.6457287909115355,1.8779917720914392,5.7155038430373475,20.212229731614595,4.074570651467443,22.151248092726938,1.0,0.0,1.0,4.678941435037577,1.2306336404274643,51.06324950853983,53.287365887814644,6874.111111111111,1162.4456379165053,9
