group,method,lighting,total_trials,success_count,partial_count,fail_count,success_rate,partial_success_rate,overall_success_rate,chamfer_distance_mm_mean,chamfer_distance_mm_std,chamfer_distance_mm_median,hausdorff_distance_mm_mean,hausdorff_distance_mm_std,hausdorff_distance_mm_median,coverage_3mm_mean,coverage_3mm_std,coverage_3mm_median,std_residual_mm_mean,std_residual_mm_std,execution_time_s_mean,execution_time_s_std,point_count_mean,point_count_std,n_successful_trials
canny_overall,canny,all,18,18,0,0,1.0,0.0,1.0,22.6002241806363,24.803715277658824,18.43744641834801,52.38385176485886,59.04482708745814,40.43284900464858,0.8233405801227001,0.19839778813241715,0.8616547442299906,12.819210438828337,17.237433405656095,5.040372729301453,2.677381906054964,4450.055555555556,1783.281425852591,18
rgbd_overall,rgbd,all,18,18,0,0,1.0,0.0,1.0,18.618840214071255,12.399162647982786,19.83018063560168,42.976192293575956,23.643537681763366,43.126281810013275,0.8510010979299746,0.15366779297445066,0.8650106507249364,9.549984394726478,5.103029723685669,9.171877463658651,3.904541341884882,9062.333333333334,2714.646093280799,18
