group,method,lighting,total_trials,success_count,partial_count,fail_count,success_rate,partial_success_rate,overall_success_rate,chamfer_distance_mm_mean,chamfer_distance_mm_std,chamfer_distance_mm_median,hausdorff_distance_mm_mean,hausdorff_distance_mm_std,hausdorff_distance_mm_median,coverage_3mm_mean,coverage_3mm_std,coverage_3mm_median,std_residual_mm_mean,std_residual_mm_std,execution_time_s_mean,execution_time_s_std,point_count_mean,point_count_std,n_successful_trials
canny_normal,canny,normal,6,6,0,0,1.0,0.0,1.0,18.237719152385406,16.500026910266072,18.43744641834801,41.15365497076351,24.396684131286253,40.77521960239149,0.8502347610698896,0.16437588740188633,0.8573508005822417,9.291688803849555,5.507981426534532,5.4630628029505415,1.7949547696349284,4912.333333333333,1807.3832650178729,6
canny_bright,canny,bright,6,6,0,0,1.0,0.0,1.0,18.867793684573332,17.591820868247602,18.621589111528593,42.036458539395134,26.78804923110852,39.91712413820146,0.8408976283103987,0.1742933917773023,0.8417421302285468,9.28686991849055,6.012729297816887,4.237105528513591,0.830399739090009,3660.5,916.7664369947233,6
canny_dim,canny,dim,6,6,0,0,1.0,0.0,1.0,30.69515970495016,37.30751907389237,19.174255777499614,73.96144178441794,98.49903437237435,40.19238385892174,0.7788893509878122,0.26985764904419823,0.8616547442299906,19.879072594144905,29.22384663076476,5.4209498564402265,4.393011718233256,4777.333333333333,2360.5441463075135,6
rgbd_normal,rgbd,normal,6,6,0,0,1.0,0.0,1.0,18.42889139640839,13.563092282144305,18.461947562357665,42.023394046561684,25.819063680225575,42.62950460283052,0.8475277855167276,0.16719008408410224,0.8519327454050936,9.525859479254422,5.681283850128662,9.711610873540243,3.1533672559561285,9476.333333333334,2454.98013569696,6
rgbd_bright,rgbd,bright,6,6,0,0,1.0,0.0,1.0,18.470020624874408,12.989645205003104,19.22202030881793,44.214457061677024,24.7517706694595,43.459290794989286,0.8581626830724062,0.15560274455452752,0.8650106507249364,9.849568353571891,5.261306363687018,9.324676871299744,5.415143677070444,9366.5,3185.698589006813,6
rgbd_dim,rgbd,dim,6,6,0,0,1.0,0.0,1.0,18.957608620930966,13.03140252726808,20.302520467954285,42.69072577248917,24.866765633055394,42.72333102347649,0.8473128252007899,0.16742103522288954,0.8528902449080564,9.274525351353121,5.327412026026859,8.479344646135965,3.4079152856447354,8344.166666666666,2818.5841422009503,6
