Object,Lighting,Method,N,chamfer_distance_mm_mean,chamfer_distance_mm_std,chamfer_distance_mm_min,chamfer_distance_mm_max,chamfer_distance_mm_median,hausdorff_distance_mm_mean,hausdorff_distance_mm_std,hausdorff_distance_mm_min,hausdorff_distance_mm_max,hausdorff_distance_mm_median,std_residual_mm_mean,std_residual_mm_std,std_residual_mm_min,std_residual_mm_max,std_residual_mm_median,cv_residual_mean,cv_residual_std,cv_residual_min,cv_residual_max,cv_residual_median,execution_time_s_mean,execution_time_s_std,execution_time_s_min,execution_time_s_max,execution_time_s_median,point_count_mean,point_count_std,point_count_min,point_count_max,point_count_median
Cube,normal,CANNY,3,3.178551022468335,0.41937688246716187,2.817207841334671,3.7665170807215897,2.9519281453487434,18.96615464412542,1.6240522780642044,17.46089324347019,21.221103483064624,18.21646720584145,4.272719415187391,0.13245542104459185,4.127552395204814,4.447828824726958,4.242777025630399,1.6117097690807274,0.08887913692977281,1.4862256699202883,1.6807412634291115,1.668162373892782,3.9345160325368247,0.3437596382580946,3.466430902481079,4.28226113319397,4.054856061935425,3707.3333333333335,508.6382691942171,3018.0,4230.0,3874.0
Cube,normal,RGBD,3,6.070632842553205,0.8040756038979949,4.9335568512282615,6.6491712202177045,6.6291704562136475,18.79362746793704,5.302162354843296,11.297050201142605,22.684693613260265,22.39913858940825,4.459014324521545,1.4209134012885627,2.4496331777991953,5.480524420460052,5.446885375305388,0.9735325163116638,0.13645535702202885,0.780570827500848,1.0721197031565748,1.0679070182775687,7.105541706085205,0.9338427406046313,5.784905910491943,7.771709203720093,7.760010004043579,7474.666666666667,1038.519886933108,6006.0,8216.0,8202.0
Cube,bright,CANNY,3,2.8267496051415715,0.40727330738304174,2.388568776076077,3.3695767817815736,2.7221032575670643,17.984467072103218,1.7673924090058946,15.490908771150629,19.380038497010396,19.08245394814863,3.8684784880107848,0.48731503298035034,3.1866046826694503,4.296017915153641,4.122812866209262,1.6227821902360302,0.053427406041118466,1.5501344140730515,1.677090989725534,1.641121166909505,4.218074639638265,0.3727001957443615,3.9170799255371094,4.7432849407196045,3.993859052658081,3777.0,383.05439126404315,3273.0,4201.0,3857.0
Cube,bright,RGBD,3,6.690440920438918,1.741509554064571,5.447359236426448,9.153270505554667,5.4706930193356405,21.70979033035101,1.3989677257829354,20.55366975066413,23.67824802762578,20.89745321276311,5.082929987083143,0.7565302904103415,4.538178148828549,6.1527651192747905,4.557846693146089,1.0737569322663407,0.0009646804594643944,1.0730587715542632,1.075121069910611,1.0730909553341477,7.147047678629558,0.30054603493747817,6.8768510818481445,7.566288948059082,6.998003005981445,7132.666666666667,213.33906242307233,6969.0,7434.0,6995.0
Cube,dim,CANNY,3,3.116834982345775,0.5854963804305621,2.2947265205716767,3.6134010548426505,3.442377371622997,17.73642874165698,2.3422600200695625,15.025254047505104,20.740173191610936,17.443858985854895,4.278624085370094,0.8652639369684063,3.0676233217265163,5.036211231139649,4.732037703244115,1.5426129448892096,0.02972360208238115,1.5032072423971046,1.5749898538696807,1.549641738400844,4.187413374582927,0.3044684033838618,3.7736051082611084,4.497388124465942,4.2912468910217285,3811.6666666666665,448.29628099679303,3249.0,4346.0,3840.0
Cube,dim,RGBD,3,7.176112609742481,2.260864207807169,5.44324282706793,10.369591159122166,5.7155038430373475,20.13327139655573,3.152926434361005,15.680847962539067,22.56771813440119,22.151248092726938,4.494879993508042,1.0962533827632284,3.297609868851188,5.946489501692177,4.24054060998076,0.9412982734484414,0.050944387290412646,0.903641118638916,1.0133194247083197,0.9069342769980888,5.726994276046753,1.3089881721323742,3.936187982559204,7.028518915176392,6.216275930404663,6015.0,1146.2050427388635,4433.0,7112.0,6500.0
ctry.obj,normal,CANNY,3,33.29688728230247,0.1360645658240531,33.10837575597443,33.42457809355132,33.35770799738169,63.3411552974016,2.188402852593961,60.32933572171836,65.46380465792402,64.23032551256243,14.310658192511717,0.4067518955446468,13.830790926150947,14.825302968167842,14.275880683216364,0.6657685582049325,0.06245721156994528,0.5778738537176704,0.7172819931841675,0.7021498277129598,6.991609573364258,0.7607166976907729,6.004928112030029,7.856271743774414,7.11362886428833,6117.333333333333,1510.5057284087193,4658.0,8198.0,5496.0
ctry.obj,normal,RGBD,3,30.787149950263572,0.7043724478454242,30.274723904497627,31.78314366946211,30.303582276830983,65.25316062518634,1.9191263569694756,62.57431559240077,66.9699568671649,66.21520941599333,14.592704633987298,0.6558524515314118,13.668959071169196,15.1269255919459,14.982229238846799,0.6429192794305489,0.04037867085518834,0.5858155434057396,0.6716387453370961,0.6713035495488112,12.31768004099528,1.455204387567002,10.261656999588013,13.423194169998169,13.268188953399658,11478.0,976.2257252637152,10098.0,12203.0,12133.0
ctry.obj,bright,CANNY,3,34.90883776400509,0.9954264935531371,33.87360144127561,36.25260674282231,34.60030510791735,66.08845000668705,5.989911490807828,60.45420977939252,74.38371417625504,63.427426064413595,14.705261348970316,1.1399336320801745,13.532031540533566,16.24938442065665,14.334368085720733,0.6200864061993673,0.02975076236703091,0.5903178432410205,0.6607201786769181,0.6092211966801631,4.256136417388916,1.0048099782698234,2.8483481407165527,5.1275529861450195,4.792508125305176,3544.0,1107.6518707006578,2319.0,5002.0,3311.0
ctry.obj,bright,RGBD,3,30.2496003293099,0.8174876349146457,29.29077011208119,31.28840127145454,30.16962960439397,66.71912379300305,2.4912698332323266,63.24033356235279,68.94137703584538,67.97566078081094,14.61620672006064,0.3486455318549602,14.12580081960246,14.905648792348078,14.817170548231383,0.6409708264442763,0.02522430120477063,0.615599581468833,0.675373331839094,0.6319395660249018,11.50230606396993,6.268851783610075,3.2040629386901855,18.35367202758789,12.949183225631714,11600.333333333334,2624.6757683357555,8176.0,14553.0,12072.0
